Title,US Gross,,,,
Peggy Sue Got Married,41382841,,,,
Peter Pan,87400000,,,,
Pet Sematary,57469179,,,,
Patton,62500000,,,,
The Puffy Chair,194523,,,,
Pulp Fiction,107928762,,,,
Paint Your Wagon,31678778,,,,
The Prisoner of Zenda,7000000,,,,
The Perez Family,2794056,,,,
Q,255000,,,,
The Quick and the Dead,18552460,,,,
Quigley Down Under,21413105,,,,
La Guerre du feu,20959585,,,,
Quo Vadis?,30000000,,,,
Rang De Basanti,2197694,,,,
Robin and Marian,8000000,,,,
Ransom,136492681,,,,
Rosemary's Baby,33395426,,,,
Rebecca,6000000,,,,
Robin Hood: Prince of Thieves,165493908,,,,
Rumble in the Bronx,32281907,,,,
Rob Roy,31390587,,,,
Raging Bull,23380203,,,,
Richard III,2684904,,,,
Raising Cain,21171695,,,,
RoboCop,53424681,,,,
RoboCop 3,10696210,,,,
Ri¢hie Ri¢h,38087756,,,,
Radio Days,14792779,,,,
Radio Flyer,4651977,,,,
Reservoir Dogs,2832029,,,,
Raiders of the Lost Ark,245034358,,,,
Red River,9012000,,,,
Reds,50000000,,,,
Le Violon rouge,10019109,,,,
Red Sonja,6905861,,,,
Star Wars Ep. VI: Return of the Jedi,309205079,,,,
The Return,501752,,,,
The Rise and Fall of Miss Thang,401,,,,
Roger & Me,6706368,,,,
The Right Stuff,21500000,,,,
The Rocky Horror Picture Show,139876417,,,,
Road House,30050028,,,,
Romeo Is Bleeding,3275585,,,,
Rockaway,0,,,,
Rocky,117235147,,,,
Return of the Living Dead Part II,9205924,,,,
The R.M.,1111615,,,,
Renaissance Man,24172899,,,,
Rambo: First Blood Part II,150415432,,,,
Rambo III,53715611,,,,
Romeo+Juliet,46338728,,,,
Ramanujan,0,,,,
Rain Man,172825435,,,,
Rapa Nui,305070,,,,
Roar,2000000,,,,
The Robe,36000000,,,,
The Rock,134069511,,,,
The Remains of the Day,22954968,,,,
Airplane!,83453539,,,,
Repo Man,2300000,,,,
Rocket Singh: Salesman of the Year,164649,,,,
Raise the Titanic,7000000,,,,
Restoration,4100000,,,,
The Return of the Living Dead,14237880,,,,
Rejsen til Saturn,0,,,,
