name,parent,value
Origin,,
133375846,Starter,Thriller/Suspense
13038660,Starter,Drama
24044532,Starter,Drama
135560942,Starter,Comedy
30331165,Starter,Comedy
55762229,Starter,Comedy
39251128,Starter,Drama
32122249,Starter,Comedy
106885658,Starter,Comedy
28142535,Starter,Adventure
10965209,Starter,Thriller/Suspense
15962471,Starter,Drama
90757863,Starter,Adventure
18653615,Starter,Drama
20211394,Starter,Western
50866635,Starter,Adventure
2528664,Starter,Comedy
20733485,Starter,Drama
18597342,Starter,Comedy
1693000,Starter,Drama
82674398,Starter,Romantic Comedy
24419219,Starter,Thriller/Suspense
201578182,Starter,Adventure
13684949,Starter,Adventure
5881504,Starter,Drama
51877963,Starter,Adventure
15132763,Starter,Adventure
78616689,Starter,Drama
30199105,Starter,Thriller/Suspense
19551067,Starter,Adventure
9228788,Starter,Comedy
11003643,Starter,Drama
148478011,Starter,Romantic Comedy
9176000,Starter,Drama
16316273,Starter,Drama
20040895,Starter,Action
10672566,Starter,Thriller/Suspense
77222099,Starter,Action
22365133,Starter,Drama
5520368,Starter,Comedy
21170563,Starter,Comedy
84052762,Starter,Adventure
24185781,Starter,Drama
37752931,Starter,Drama
50980159,Starter,Drama
6525762,Starter,Black Comedy
31664162,Starter,Drama
24343673,Starter,Musical
206040085,Starter,Comedy
213117789,Starter,Comedy
53883989,Starter,Comedy
49551662,Starter,Drama
